 Nome Imagem,IOU,Dice_Score,Recall
 drishtiGS_087,0.85,0.92,0.86
 drishtiGS_001,0.59,0.74,1.00
 drishtiGS_056,0.74,0.85,0.87
 drishtiGS_097,0.85,0.92,0.97
 drishtiGS_079,0.82,0.90,0.85
 drishtiGS_099,0.87,0.93,0.96
 drishtiGS_034,0.88,0.94,0.96
 drishtiGS_003,0.86,0.92,0.88
 drishtiGS_091,0.73,0.84,0.73
 drishtiGS_027,0.84,0.91,0.85
 drishtiGS_074,0.86,0.92,0.86
 drishtiGS_070,0.88,0.94,0.92
 drishtiGS_071,0.88,0.94,0.88
 drishtiGS_019,0.84,0.92,0.99
 drishtiGS_053,0.87,0.93,0.92
 drishtiGS_007,0.90,0.95,0.95
 drishtiGS_086,0.90,0.95,0.95
 drishtiGS_052,0.88,0.94,0.94
 drishtiGS_039,0.90,0.95,0.99
 drishtiGS_025,0.80,0.89,0.80
 drishtiGS_023,0.82,0.90,0.85
 drishtiGS_100,0.65,0.79,0.74
 drishtiGS_006,0.69,0.82,1.00
 drishtiGS_065,0.80,0.89,0.90
 drishtiGS_095,0.72,0.84,0.72
 drishtiGS_067,0.86,0.92,0.93
 drishtiGS_093,0.92,0.96,0.97
 drishtiGS_050,0.82,0.90,0.86
 drishtiGS_011,0.81,0.89,0.82
 drishtiGS_013,0.73,0.85,0.79
 drishtiGS_021,0.83,0.91,0.83
 drishtiGS_072,0.86,0.93,0.96
 drishtiGS_073,0.84,0.91,0.86
 drishtiGS_077,0.87,0.93,0.92
 drishtiGS_014,0.89,0.94,0.93
 drishtiGS_082,0.82,0.90,0.82
 drishtiGS_055,0.71,0.83,0.72
 drishtiGS_096,0.73,0.84,0.77
 drishtiGS_020,0.85,0.92,0.89
 drishtiGS_048,0.72,0.84,0.89
 drishtiGS_078,0.80,0.89,0.86
 drishtiGS_009,0.90,0.95,0.90
 drishtiGS_054,0.67,0.81,0.67
 drishtiGS_029,0.86,0.93,0.90
 drishtiGS_059,0.85,0.92,0.88
 drishtiGS_083,0.84,0.91,0.86
 drishtiGS_028,0.82,0.90,0.88
 drishtiGS_085,0.78,0.87,0.83
 drishtiGS_005,0.89,0.94,1.00
 drishtiGS_030,0.82,0.90,0.88
 drishtiGS_043,0.86,0.92,0.88
 TOTAL,0.82,0.90,0.88
